category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
Pacemakers,covid,28,2,520741.19999999995,0.001,3.571,3.571,8251.6
Pacemakers,pre_covid,11,1,466976.39999999997,0.002,0.0,0.0,10000.0
Packing & Storage,post_covid,2,1,392563.92,0.0,0.0,50.0,10000.0
Patients Appl: Purchase,covid,2,1,108000.0,0.0,0.0,50.0,10000.0
Payt Rec On A/C Susp <1Yr,pre_covid,1,1,29371.34,0.0,100.0,100.0,10000.0
Permanent Injury Benefits,covid,7,1,216398.63,0.0,0.0,0.0,10000.0
Permanent Injury Benefits,pre_covid,5,1,158790.83000000002,0.001,0.0,0.0,10000.0
Pharmaceutical services,covid,115,27,14120396.64,0.023,0.87,4.348,1138.7
Pharmaceutical services,post_covid,129,22,25361658.310000002,0.027,1.55,0.0,2279.1
Pharmaceutical services,pre_covid,87,19,8918570.52,0.033,0.0,1.149,1172.2
Phone Rental and Calls,pre_covid,1,1,62452.5,0.0,0.0,100.0,10000.0
Photographic Materials,covid,13,1,395914.23000000004,0.001,0.0,0.0,10000.0
Photographic Materials,pre_covid,4,1,196010.71,0.001,0.0,0.0,10000.0
Postage & Carriage,covid,10,2,320512.02,0.001,0.0,0.0,8312.0
Postage & Carriage,pre_covid,6,1,195420.56,0.001,0.0,0.0,10000.0
Premises,covid,1269,61,165814355.61,0.275,0.788,1.655,2683.2
Premises,post_covid,1369,63,165211093.51999998,0.173,0.584,1.242,2745.7
Premises,pre_covid,588,35,69537439.28999999,0.254,0.0,0.85,3643.8
Primary Care Trst Revenue,covid,1,1,52123.75,0.0,0.0,0.0,10000.0
Printing Costs,covid,1,1,27493.92,0.0,0.0,0.0,10000.0
Printing Design Costs,pre_covid,1,1,25200.0,0.0,0.0,100.0,10000.0
Professional Fees,covid,31,5,506009.36000000004,0.001,0.0,6.452,3075.3
Professional Fees,pre_covid,3,3,159440.0,0.001,33.333,33.333,4182.4
Prostheses - Other,covid,2,1,29352.0,0.0,50.0,50.0,10000.0
Provisions,covid,11,4,352430.68000000005,0.001,18.182,0.0,3111.0
Provisions,post_covid,1,1,28531.15,0.0,0.0,100.0,10000.0
Provisions,pre_covid,3,3,124859.98,0.0,33.333,100.0,4143.6
Purch Tang FA AUC Addns,covid,17,2,2788345.32,0.005,0.0,0.0,9528.0
Purch Tang FA AUC Addns,pre_covid,10,3,1761786.22,0.006,0.0,0.0,5878.0
Purchase of healthcare from non-NHS bodies,covid,10601,1078,5170415387.176354,8.59,0.604,2.594,441.3
Purchase of healthcare from non-NHS bodies,post_covid,11974,1064,2602168927.632934,2.721,1.603,1.253,765.4
Purchase of healthcare from non-NHS bodies,pre_covid,5280,451,1783410346.8801365,6.522,0.152,0.89,510.7
QUALIFIED AGENCY INVOICES,covid,43,7,1677485.23,0.003,2.326,9.302,1845.4
QUALIFIED AGENCY INVOICES,pre_covid,20,4,651798.32,0.002,5.0,20.0,5560.0
RATES,covid,2,1,903936.0,0.002,0.0,50.0,10000.0
RATES,pre_covid,1,1,184611.1,0.001,0.0,0.0,10000.0
RECRUITMENT  EXPENSES,covid,1,1,85352.66,0.0,0.0,100.0,10000.0
RENTS,covid,8,2,712028.53,0.001,0.0,0.0,6545.1
RENTS,pre_covid,11,3,656811.0499999999,0.002,0.0,9.091,5909.2
RENTS LEASE,covid,2,1,98563.70999999999,0.0,0.0,0.0,10000.0
RESUS STOCK CONSUMABLES,covid,14,2,4116135.4899999998,0.007,0.0,0.0,9878.0
RESUS STOCK CONSUMABLES,pre_covid,18,2,4862414.130000001,0.018,0.0,5.556,6596.2
Rates,covid,45,1,3439565.0,0.006,0.0,0.0,10000.0
Rates,post_covid,3,2,154471.91,0.0,0.0,0.0,6543.2
Rates,pre_covid,25,2,2004407.0,0.007,0.0,0.0,6456.6
Rechgs to-from Other NHS,covid,3,2,102564.47,0.0,0.0,0.0,5692.0
Rechgs to-from Other NHS,pre_covid,1,1,45137.72,0.0,100.0,100.0,10000.0
Research and development (excluding staff costs),covid,3,1,434283.0,0.001,0.0,0.0,10000.0
Research and development (excluding staff costs),post_covid,30,19,2671518.89,0.003,3.333,13.333,980.1
Research and development (excluding staff costs),pre_covid,2,1,172378.0,0.001,0.0,0.0,10000.0
SERVICE AND FM CHARGES,covid,7,1,243350.88999999998,0.0,0.0,0.0,10000.0
SERVICES FROM NON-NHS BODIES,covid,2,2,434880.31,0.001,0.0,0.0,6535.7
SERVICES FROM NON-NHS BODIES,pre_covid,6,1,1688733.9400000002,0.006,0.0,0.0,10000.0
SERVICES FROM OTHER NHS,covid,2,1,56658.490000000005,0.0,0.0,0.0,10000.0
SERVICES FROM OTHER NHS,pre_covid,1,1,30512.93,0.0,0.0,100.0,10000.0
STRUCTURE,covid,9,4,904438.85,0.002,0.0,0.0,4540.9
STRUCTURE,pre_covid,48,8,9967409.059999999,0.036,2.083,4.167,4266.3
STUDENT LOAN RE-PAYMENTS,covid,2,1,28545.0,0.0,0.0,0.0,10000.0
STUDENT LOAN RE-PAYMENTS,pre_covid,8,1,77708.0,0.0,0.0,0.0,10000.0
SUBSCRIPTION  FEES,pre_covid,2,2,721148.22,0.003,0.0,100.0,9205.7
SW SUPPORT,pre_covid,2,2,141201.63,0.001,0.0,100.0,6415.2
Senior Manager Band 8B,covid,8,1,5196.23,0.0,0.0,0.0,10000.0
Senior Manager Band 8C,covid,8,1,46769.86,0.0,0.0,0.0,10000.0
Senior Manager Band 8C,post_covid,2,1,52909.0,0.0,0.0,0.0,10000.0
Senior Manager Band 8C,pre_covid,1,1,45496.0,0.0,0.0,0.0,10000.0
Senior Manager Band 8D,covid,3,1,25781.72,0.0,0.0,0.0,10000.0
Senior Manager Band 8D,pre_covid,3,1,575357.16,0.002,0.0,0.0,10000.0
Senior Manager Trust,covid,2,1,27008.260000000002,0.0,50.0,0.0,10000.0
Service Charge,pre_covid,1,1,143614.98,0.001,0.0,0.0,10000.0
Services Received - CCG's,post_covid,1,1,1232000.0,0.001,0.0,0.0,10000.0
Services Received - NHSTs,covid,122,5,6702650.77,0.011,0.0,1.639,3281.4
Services Received - NHSTs,post_covid,31,3,1425681.38,0.001,6.452,0.0,4258.8
Services Received - NHSTs,pre_covid,55,6,2027760.8299999998,0.007,0.0,0.0,3241.8
Services Received – CCGs,covid,2,1,2000000.0,0.003,0.0,0.0,10000.0
Services from Local Auth,covid,2,1,362936.65,0.001,0.0,0.0,10000.0
Services from Local Auth,pre_covid,1,1,134400.0,0.0,0.0,0.0,10000.0
Services from other NHS bodies,covid,27308,392,47127785621.630005,78.299,1.263,0.143,110.1
Services from other NHS bodies,post_covid,70486,407,70532540377.42036,73.755,2.226,0.072,136.8
Services from other NHS bodies,pre_covid,20044,395,23259786999.55,85.058,0.125,0.065,134.0
Sewerage,covid,10,1,155554.69,0.0,0.0,10.0,10000.0
Sewerage,post_covid,1,1,14853.71,0.0,0.0,0.0,10000.0
Sewerage,pre_covid,5,1,79393.17,0.0,0.0,0.0,10000.0
SrvcsRecd-FoundationTrust,covid,14,3,1560318.29,0.003,0.0,0.0,3455.9
SrvcsRecd-FoundationTrust,post_covid,14,1,409429.32999999996,0.0,0.0,0.0,10000.0
SrvcsRecd-FoundationTrust,pre_covid,2,1,256522.0,0.001,0.0,0.0,10000.0
Supplies and services - general,covid,658,364,379280365.54,0.63,0.608,8.967,120.5
Supplies and services – clinical,covid,4778,363,2127577445.1599998,3.535,0.335,0.419,145.3
Supplies and services – clinical,post_covid,1256,156,500184084.1,0.523,0.557,1.592,186.3
Supplies and services – clinical,pre_covid,993,173,216025302.48000002,0.79,0.403,0.604,167.4
Supplies and services – general,covid,5842,782,1567495117.0429797,2.604,0.907,4.639,269.9
Supplies and services – general,post_covid,9788,988,2925203569.769223,3.059,0.93,3.658,688.9
Supplies and services – general,pre_covid,1803,442,500442911.210046,1.83,0.499,2.551,378.1
TELEPHONES,covid,1,1,2090.7,0.0,0.0,0.0,10000.0
TELEPHONES,pre_covid,1,1,569.62,0.0,0.0,0.0,10000.0
THERAPY EQUIPMENT,covid,2,1,30000.0,0.0,0.0,50.0,10000.0
Training Expenses,covid,2,2,407500.0,0.001,0.0,50.0,8532.1
Transport,covid,59,3,28326153.03,0.047,1.695,0.0,9923.3
Transport,post_covid,90,7,32029029.880000003,0.033,0.0,3.333,9817.0
Transport,pre_covid,58,3,16675867.34,0.061,1.724,1.724,9088.4
Travel & Subsistence,covid,9,2,28003.41,0.0,0.0,0.0,9686.5
Travel & Subsistence,post_covid,2,1,505.0,0.0,0.0,0.0,10000.0
Travel & Subsistence,pre_covid,2,1,59426.25,0.0,50.0,50.0,10000.0
Unspecified,post_covid,12099,1566,7249984846.64718,7.581,8.505,2.761,131.2
VAT Cont Out Serv Inp Tax,pre_covid,1,1,54893.72,0.0,0.0,0.0,10000.0
WAN USAGE,covid,2,2,109047.95000000001,0.0,0.0,0.0,5936.3
WAN USAGE,pre_covid,14,3,1057868.31,0.004,0.0,7.143,6919.5
WATER AND SEWERAGE,covid,5,1,170132.66,0.0,0.0,0.0,10000.0
WATER AND SEWERAGE,pre_covid,8,1,351314.85,0.001,0.0,0.0,10000.0
Water,covid,11,1,173841.23,0.0,0.0,0.0,10000.0
Water,post_covid,1,1,10535.28,0.0,0.0,0.0,10000.0
Water,pre_covid,5,1,72369.36,0.0,0.0,0.0,10000.0
Wheelchairs,covid,3,1,81480.0,0.0,66.667,33.333,10000.0
Wheelchairs,post_covid,7,1,2261.8,0.0,0.0,0.0,10000.0
X-Ray Equip Maint/Repair,covid,41,4,1237546.29,0.002,0.0,0.0,6465.0
X-Ray Equip Maint/Repair,post_covid,2,1,37985.5,0.0,0.0,0.0,10000.0
X-Ray Equipment Purchase,covid,16,5,314825.01999999996,0.001,0.0,12.5,2344.5
X-Ray Equipment Purchase,pre_covid,13,6,373059.38,0.001,0.0,15.385,2611.2
XRAY MAINTENANCE,covid,2,1,108638.98,0.0,0.0,0.0,10000.0
XRAY MAINTENANCE,pre_covid,5,1,304615.04000000004,0.001,0.0,20.0,10000.0
