category,spend_covid,spend_post_covid,spend_pre_covid,pct_change_pre_to_covid,pct_change_covid_to_post,n_transactions_total
Lincoln Clinical Eng Parts,0.0,1060756.04,0.0,,,7
Lincoln Ct,0.0,239910.0,0.0,,,6
Lincoln Endoscopy,0.0,36165.82,0.0,,,1
Lincoln Estates Operations,0.0,92382.36,0.0,,,2
Lincoln General Surgery Ip,0.0,93796.19,0.0,,,1
Lincoln Linen,0.0,477973.45999999996,0.0,,,7
Lincoln Management,0.0,34086.0,0.0,,,1
Lincoln Max Facial Surgery Ip,0.0,45246.51,0.0,,,1
Lincoln Nuclear Medicine,0.0,51053.66,0.0,,,1
Lincoln Portering,0.0,458659.24,0.0,,,6
Lincoln Radiology,0.0,884318.1699999999,0.0,,,20
Lincoln Rates,0.0,372243.2,0.0,,,6
Lincoln Site Maint Schemes,0.0,733028.62,0.0,,,10
Lincoln Ultrasound,0.0,33802.48,0.0,,,1
Lincoln Utilities/Waste,0.0,2502069.24,0.0,,,19
Lincoln Ward Housekeeping,0.0,207385.19,0.0,,,6
Lincolnshire Talent Academy,0.0,160115.0,0.0,,,1
Lloyds Purchasing Cards,0.0,227115.0,0.0,,,1
Losses And Compensation,0.0,227644.0,0.0,,,3
Louth Endoscopy,0.0,47233.2,0.0,,,1
Louth Radiology,0.0,162384.72,0.0,,,2
Manager Recharge,0.0,111496.67,0.0,,,1
Materials - Electrical,0.0,30242.0,0.0,,,1
Mdg Revenue Items,0.0,38760.0,0.0,,,1
Mechanical Works,0.0,39445.62,0.0,,,1
Medical Education General,0.0,1750000.0,0.0,,,7
Medical Record Storage,54979.44,2065277.53,0.0,,3656.4542854565266,30
Minor Clinical Equipment,0.0,32050.52,0.0,,,1
Miscellaneous - Auc Pur,0.0,557136.0800000001,0.0,,,5
Mobile Phones,0.0,27495.05,0.0,,,1
Mri Gra,0.0,239900.0,0.0,,,4
Mri Lch,0.0,834029.92,0.0,,,13
Mri Pil,0.0,79737.7,0.0,,,1
Msse Consumables,255010.88,436180.38,0.0,,71.04383154161893,13
NHS England Running Costs,0.0,60367.869999999995,0.0,,,2
NHS Litigation Authority,0.0,1794998.4,0.0,,,1
NHS Local Debtors Adj,6365.0,0.0,0.0,,-100.0,1
NJR LEVY CHARGE,26360.96,0.0,0.0,,-100.0,1
NURSE MANAGER BAND 8D,210643.9,0.0,0.0,,-100.0,3
NURSING DIRECTOR,92433.67,0.0,0.0,,-100.0,2
National Ins Holt Drs- Ees,166945.15000000002,1112038.94,0.0,,566.1103601991432,30
National Ins Holt Drs- Ers,516228.56,4324198.7700000005,0.0,,737.6519830673453,30
National Insurance - Curr,0.0,15882034.719999999,0.0,,,4
National Insurance - Ees,5399736.07,51179529.18,0.0,,847.8153842434006,30
National Insurance - Ers,8133956.0,95420406.97999997,0.0,,1073.1119147927525,31
National Qc & Accred Fees,0.0,447187.0,0.0,,,1
Network Hard/W,0.0,516733.76999999996,0.0,,,6
Neurophysiology - Lincoln,0.0,232455.0,0.0,,,8
Nhs England Income Non Block,44200.0,133930.08,0.0,,203.00923076923075,4
Nhs Subcontracted Services,0.0,1256928.42,0.0,,,6
Non Pay Cip,0.0,58325.74,0.0,,,2
Nurse B5,31425.0,28840.74,0.0,,-8.223579952267299,2
Nurse Bank Recharges,0.0,10167506.68,0.0,,,53
OTHER CONSULTANCIES,26875.0,0.0,0.0,,-100.0,1
OTHER SENIOR MANAGER,278147.0,0.0,0.0,,-100.0,2
Occupancy Guarantee,80837.29,45825.57,0.0,,-43.31134801772795,2
Occupational Health Ptrust,0.0,31794.35,0.0,,,1
Office Equipment,0.0,144206.58000000002,0.0,,,3
Org Development & Training,0.0,96220.8,0.0,,,1
Other,0.0,310498.19,0.0,,,4
Other Clinical Costs,987519.0,8164028.840000001,0.0,,726.7211911872076,26
Other Consultancies,0.0,126038.92,0.0,,,2
Other Income,30000.0,0.0,0.0,,-100.0,1
Other Operatg Rev Non NHS,42330.68,0.0,0.0,,-100.0,1
Other Research Exp,0.0,6499697.3100000005,0.0,,,78
Other Senior Nurse,0.0,4456382.58,0.0,,,19
Other Transport Costs,0.0,263285.32,0.0,,,3
Outpatient It,0.0,115200.0,0.0,,,1
Outpatients Pharmacies,0.0,10701741.209999999,0.0,,,19
Outsource Service From Non Nhs,1171800.4,22083283.28,0.0,,1784.560141812548,201
P&M Additions,258936.02,31125.690000000002,0.0,,-87.97938965772317,5
PATIENT APPLIANCES,60000.0,0.0,0.0,,-100.0,2
PHOTOCOPIERS LEASE COST,74085.0,0.0,0.0,,-100.0,1
POST MAR 95 RETIREMENTS < 1 Yr,92711.56,0.0,0.0,,-100.0,5
PRE MAR 95 RETIREMENTS < 1 Yr,34642.3,0.0,0.0,,-100.0,5
Packing & Storage,0.0,604267.86,0.0,,,8
Pacs,0.0,325117.96,0.0,,,2
Pacs/Emrad Project,0.0,334338.36,0.0,,,3
Pathlinks,0.0,6527012.22,0.0,,,11
Patients Appl: Purchase,108000.0,263797.48,0.0,,144.2569259259259,19
Pay Recharge,50000.0,236590.7,0.0,,373.18140000000005,3
Paye - Holt,1249797.76,11012120.870000001,0.0,,781.1122265093516,30
Paye - Trust,11864609.93,153150684.19,0.0,,1190.819378753904,30
Payroll Services Contract,70893.34,963919.1100000002,0.0,,1259.6751260414592,24
Pharmacy,0.0,5960881.49,0.0,,,124
Pharmacy Contract,0.0,35020863.23,0.0,,,29
Pharmacy Dispensing Costs,0.0,5887493.5600000005,0.0,,,9
Phlebotomist B2,0.0,54068.88,0.0,,,1
Phone Install & Maintenance,0.0,915252.04,0.0,,,2
Photocopier Usage,0.0,43579.08,0.0,,,1
Pilgrim Endoscopy,0.0,98983.83,0.0,,,2
Pilgrim Estates Operations,0.0,278730.67,0.0,,,4
Pilgrim Linen,0.0,337869.35,0.0,,,6
Pilgrim Obstetrics Ip,0.0,619760.5900000001,0.0,,,5
Pilgrim Radiology,0.0,94083.73999999999,0.0,,,2
Pilgrim Rates,0.0,469504.0,0.0,,,7
Pilgrim Respir Physiology Op,0.0,45264.0,0.0,,,1
Pilgrim Utilities/Waste,0.0,484806.36,0.0,,,9
Pilgrim Ward Housekeeping,0.0,107023.2,0.0,,,2
Primary Care Trst Revenue,52123.75,47543.38,0.0,,-8.78749130674597,2
Printing And Stationery,0.0,141000.33000000002,0.0,,,3
Printing Costs,27493.92,255555.0,0.0,,829.4964122977009,6
Progress Housing Rents,0.0,1298726.0199999998,0.0,,,26
Progress Living,0.0,1126955.07,0.0,,,9
Propco Leases,0.0,1089861.2,0.0,,,19
Property Lease,0.0,1696917.6500000004,0.0,,,27
Prostheses - Other,29352.0,0.0,0.0,,-100.0,2
Provision Early Depart <1yr,25149.63,75234.35,0.0,,199.14694570059282,4
Provision Legal Claims <1yr,0.0,194650.73,0.0,,,3
Provision Pension Inj Ben <1yr,0.0,79585.92,0.0,,,3
Public Relations Expenses,0.0,23170.24,0.0,,,1
Purch Hcare From Nhs And Dhsc,87003.09,731750.56,0.0,,741.0627254733138,20
RECRUITMENT  EXPENSES,251305.36,0.0,0.0,,-100.0,4
RENTS LEASE,602823.7799999999,0.0,0.0,,-100.0,14
Radiology Services,41606.18,405727.7,0.0,,875.1621033221508,7
Radiotherapy Physics,0.0,678336.3500000001,0.0,,,2
Rchrg : Rcvd - Pathology,0.0,1957213.5,0.0,,,35
Recruitment Agency Fees,160132.29,1079037.08,0.0,,573.8410348094067,29
Repairs - Contract Work,0.0,262628.05,0.0,,,5
Risk & Incident Management,0.0,48891.3,0.0,,,1
Room Hire (Non-Ifrs 16),175549.72,7038417.89,0.0,,3909.358653491444,75
Rowlands Dispensing Costs,0.0,1877240.0399999996,0.0,,,20
Rowlands dispensing costs,486644.33999999997,0.0,0.0,,-100.0,6
SENIOR MANAGER BAND 8D,32031.44,0.0,0.0,,-100.0,1
SERVICE AND FM CHARGES,2184803.86,0.0,0.0,,-100.0,39
STAFF CARS LEASE COSTS,19313.34,0.0,0.0,,-100.0,1
STAFF CARS SERVICE COSTS,3890.52,0.0,0.0,,-100.0,1
STAFF UNIFORMS AND CLOTHING,326373.5,0.0,0.0,,-100.0,8
SYS VAT Non Recoverable,0.0,179587.84,0.0,,,1
Sal Sac Home Electronics,0.0,54528.63,0.0,,,2
Sal Sac Lease Cars,0.0,52296.1,0.0,,,2
Salary Finance Borrow,0.0,745318.73,0.0,,,25
Secondment Rchrg To-From Nhs,0.0,65240.92,0.0,,,2
Senior Manager Band 8B,5196.23,108283.98999999999,0.0,,1983.8952471310931,13
Senior Manager Trust,27008.260000000002,252090.01,0.0,,833.3811582086369,10
Senior Manager band 8,0.0,986705.52,0.0,,,8
Services Received - CCG's,0.0,1232000.0,0.0,,,1
Services Received – CCGs,2000000.0,0.0,0.0,,-100.0,2
Software  Lice Intang Additions,0.0,366794.29,0.0,,,2
Sonographer Band 7,0.0,99981.39,0.0,,,1
Specialist Midwives,0.0,66146.4,0.0,,,1
Speech Therapy,0.0,283126.98000000004,0.0,,,6
Staff Consultancy & Suppt,0.0,88906.2,0.0,,,3
Stationery,0.0,232933.52999999997,0.0,,,7
Stp Contribution,0.0,117925.0,0.0,,,1
Student Loan - Trust,222357.0,2478521.25,0.0,,1014.6585221063425,27
Subscription Fees,66600.0,945893.39,0.0,,1320.2603453453455,8
Supplies and services - general,379280365.53999996,0.0,0.0,,-100.0,658
Supply Chain Control<1yr,4235394.2700000005,65135218.220000006,0.0,,1437.8785082976465,227
Surg Instruments Disp,0.0,33390.0,0.0,,,3
Surg Instruments General,0.0,412579.75999999995,0.0,,,20
Surgery Division Management,0.0,42740.22,0.0,,,1
Sw Support,98954.26,640188.06,0.0,,546.9535116527577,5
System Digital,0.0,436039.2,0.0,,,1
System Maintenance Costs,0.0,748074.4099999999,0.0,,,9
THERAPY EQUIPMENT,30000.0,0.0,0.0,,-100.0,2
Taxi & Other Vehicle Hire,0.0,156443.06,0.0,,,5
Telecommunications,0.0,555128.5800000001,0.0,,,4
Theatres Gdh,0.0,88109.28,0.0,,,1
Theatres Lch,0.0,67852.8,0.0,,,1
Tissue Viability,0.0,907373.01,0.0,,,7
Training Expenses,407500.0,463294.3,0.0,,13.691852760736193,13
Training Materials,0.0,155633.34,0.0,,,6
Training Travel & Subsistence,0.0,90071.79999999999,0.0,,,2
Trans Equip Additions,0.0,44996.4,0.0,,,2
Ulht Balance Sheet,0.0,107661335.63,0.0,,,269
Vehicle Lease,0.0,63572.69,0.0,,,2
Visiting Consultants,0.0,369564.79,0.0,,,7
WASTE DISPOSAL-CLINICAL,236023.23,0.0,0.0,,-100.0,7
Waiting List Clerks,0.0,45349.2,0.0,,,1
Wan Usage,0.0,216890.74,0.0,,,5
Water & Sewage,25042.17,2158008.14,0.0,,8517.496566791138,30
Wheelchairs,81480.0,5025.0,0.0,,-93.83284241531665,19
Wifi Patient And Public,0.0,233046.95,0.0,,,3
X-Ray Equip Maint/Repair,1237546.29,5509005.340000001,0.0,,345.15549717336233,155
X-Ray Equipment,0.0,88563.12,0.0,,,2
X-Ray Film & Chemicals,0.0,370182.38,0.0,,,18
